Binomial.1.2,Upham_TipLabel,Alvarez.Carretero_Tiplabel,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Pupil,Diel,Flexible,avg_mass_g,Slit,Genus_Diet_4,Genus_Diet_3,Orbit_Verticality,OrbitVerticality_ref.,Height,Height reference 
Poiana_leightoni,Poiana_leightoni,poiana_richardsonii,Carnivora,Viverridae,Poiana,leightoni,Vertical,Nocturnal,0,550,1,Mixed,Mixed,58.1,Heesy (2005),143,Frasier (2015)
Genetta_abyssinica,Genetta_abyssinica,genetta_pardina,Carnivora,Viverridae,Genetta,abyssinica,Vertical,Nocturnal,0,2130.714286,1,Carnivore,Carnivore,57.92,Heesy (2005),196,Frasier (2015)
Arctogalidia_trivirgata,Arctogalidia_trivirgata,arctogalidia_trivirgata,Carnivora,Viverridae,Arctogalidia,trivirgata,Vertical,Nocturnal,0,2250,1,Carnivore,Carnivore,67.1,Heesy (2005),197,Frasier (2015)
Hemigalus_derbyanus,Hemigalus_derbyanus,hemigalus_derbyanus,Carnivora,Viverridae,Hemigalus,derbyanus,Vertical,Nocturnal,0,2322.5,1,Insectivore,Carnivore,60.1,Heesy (2005),204,Frasier (2015)
Viverricula_indica,Viverricula_indica,viverricula_indica,Carnivora,Viverridae,Viverricula,indica,Vertical,Nocturnal,0,2908.4,1,Carnivore,Carnivore,59.1,Heesy (2005),229,Frasier (2015)
Vulpes_bengalensis,Vulpes_bengalensis,vulpes_vulpes,Carnivora,Canidae,Vulpes,bengalensis,Vertical,Nocturnal,1,2934.691667,1,Carnivore,Carnivore,58.6,Heesy (2005),252,Frasier (2015)
Ailurus_fulgens,Ailurus_fulgens,ailurus_fulgens,Carnivora,Ailuridae,Ailurus,fulgens,Vertical,Cathemeral,,4900,1,Herbivore,Herbivore,62.7,Heesy (2005),278,Frasier (2015)
Paguma_larvata,Paguma_larvata,paguma_larvata,Carnivora,Viverridae,Paguma,larvata,Vertical,Nocturnal,1,4300,1,Carnivore,Carnivore,61.8,Heesy (2005),282,Frasier (2015)
Otocyon_megalotis,Otocyon_megalotis,otocyon_megalotis,Carnivora,Canidae,Otocyon,megalotis,Vertical,Nocturnal,1,4150,1,Insectivore,Carnivore,64,Heesy (2005),297,Frasier (2015)
Urocyon_cinereoargenteus,Urocyon_cinereoargenteus,urocyon_cinereoargenteus,Carnivora,Canidae,Urocyon,cinereoargenteus,Vertical,Nocturnal,1,2864.85,1,Herbivore,Herbivore,66.2,Heesy (2005),315,Frasier (2015)
