Binomial.1.2,Upham_TipLabel,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Pupil,Pupil Reference ,Diel_Cox,Flexible_Cox,genus_diel,genus_flexible,Excluded,Reason ,Mass.g,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Terrestrial,Marine,Freshwater,Aerial,Pupil_constricted,Diet_Category_4,Genus_Diet_4,Diet_Category_3,Genus_Diet_Category_3
Bettongia_anhydra,Bettongia_anhydra,Diprotodontia,Potoroidae,Bettongia,anhydra,Round,Arresse (2006),Nocturnal,NA,NA,0,1,Extinct,1582.7,100,0,0,1,0,0,0,,Herbivore,Herbivore,Herbivore,Herbivore
Sminthopsis_crassicaudata,Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Round,Arresse (2006),Nocturnal,1,Nocturnal,0,0,,15,0,20,80,1,0,0,0,,Insectivore,Insectivore,Carnivore,Carnivore
Macrotis_leucura,Macrotis_leucura,Peramelemorphia,Thylacomyidae,Macrotis,leucura,Round,Arresse (2006),Nocturnal,NA,Nocturnal,0,0,,354.3,10,20,70,1,0,0,0,,Insectivore,Insectivore,Carnivore,Carnivore
Tarsipes_rostratus,Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes,rostratus,Vertical,Arresse (2006),Nocturnal,1,Nocturnal,1,0,,9,100,0,0,1,0,0,0,Slit,Herbivore,Herbivore,Herbivore,Herbivore
Cynictis_penicillata,Cynictis_penicillata,Carnivora,Herpestidae,Cynictis,penicillata,Horizontal,Banks et al. (2015),Diurnal,NA,Diurnal,NA,0,,836,0,10,90,1,0,0,0,,Insectivore,Insectivore,Carnivore,Carnivore
Bison_bison,Bison_bison,Cetartiodactyla,Bovidae,Bison,bison,Horizontal,Banks et al. (2015),Cathemeral,NA,Cathemeral,NA,0,,579255.3,100,0,0,1,0,0,0,,Herbivore,Herbivore,Herbivore,Herbivore
Bison_bonasus,Bison_bonasus,Cetartiodactyla,Bovidae,Bison,bonasus,Horizontal,Banks et al. (2015),Cathemeral,NA,Cathemeral,NA,0,,500000,100,0,0,1,0,0,0,,Herbivore,Herbivore,Herbivore,Herbivore
Connochaetes_taurinus,Connochaetes_taurinus,Cetartiodactyla,Bovidae,Connochaetes,taurinus,Horizontal,Banks et al. (2015),Cathemeral,NA,Cathemeral,NA,0,,179999,100,0,0,1,0,0,0,,Herbivore,Herbivore,Herbivore,Herbivore
Oreotragus_oreotragus,Oreotragus_oreotragus,Cetartiodactyla,Bovidae,Oreotragus,oreotragus,Horizontal,Banks et al. (2015),Diurnal,NA,Diurnal,NA,0,,12999.9,100,0,0,1,0,0,0,,Herbivore,Herbivore,Herbivore,Herbivore
Ourebia_ourebi,Ourebia_ourebi,Cetartiodactyla,Bovidae,Ourebia,ourebi,Horizontal,Banks et al. (2015),Cathemeral,NA,Cathemeral,NA,0,,17250,100,0,0,1,0,0,0,,Herbivore,Herbivore,Herbivore,Herbivore
