"","Diurnal","Nocturnal","Polyphasic"
"477",0.161,0.647,0.192
"478",0.0082,0.9898,0.002
"479",0.1838,0.743,0.0732
"480",0.0034,0.9956,0.001
"481",0,0.9998,2e-04
"482",0,1,0
"483",0,1,0
"484",2e-04,0.9992,6e-04
"485",4e-04,0.999,6e-04
"486",6e-04,0.9988,6e-04
"487",0,0.9992,8e-04
"488",0,1,0
"489",0,1,0
"490",0,1,0
"491",0,1,0
"492",0,0.9998,2e-04
"493",0,0.9994,6e-04
"494",0,0.9998,2e-04
"495",0,0.9998,2e-04
"496",0,1,0
"497",0,0.9998,2e-04
"498",0,1,0
"499",0,1,0
"500",0,1,0
"501",0,1,0
"502",0.0034,0.9894,0.0072
"503",4e-04,0.9996,0
"504",0,0.9994,6e-04
"505",0,0.9932,0.0068
"506",0,1,0
"507",4e-04,0.999,6e-04
"508",0.01,0.9794,0.0106
"509",0,1,0
"510",0,1,0
"511",0,0.9998,2e-04
"512",0,0.1284,0.8716
"513",0,0.9996,4e-04
"514",0,0.9994,6e-04
"515",0,1,0
"516",0,1,0
"517",0,0.9998,2e-04
"518",0,1,0
"519",0,1,0
"520",2e-04,0.9996,2e-04
"521",0,0.9996,4e-04
"522",6e-04,0.9984,0.001
"523",0,0.9992,8e-04
"524",8e-04,0.9966,0.0026
"525",0,0.9994,6e-04
"526",0,0.997,0.003
"527",0,0.9892,0.0108
"528",4e-04,0.9596,0.04
"529",2e-04,0.9574,0.0424
"530",2e-04,0.9992,6e-04
"531",2e-04,0.9976,0.0022
"532",2e-04,0.9986,0.0012
"533",4e-04,0.9996,0
"534",0,1,0
"535",0,1,0
"536",0,1,0
"537",2e-04,0.9982,0.0016
"538",0,0.9998,2e-04
"539",0,0.9998,2e-04
"540",0,0.9998,2e-04
"541",0.0026,0.9888,0.0086
"542",0.0026,0.9824,0.015
"543",0.0086,0.937,0.0544
"544",0.0098,0.8692,0.121
"545",0.0194,0.858,0.1226
"546",0.0688,0.1084,0.8228
"547",0.006,0.8776,0.1164
"548",0.0082,0.8462,0.1456
"549",0.0392,0.425,0.5358
"550",0.0026,0.1092,0.8882
"551",0.0012,0.0832,0.9156
"552",0.0432,0.721,0.2358
"553",2e-04,0.0096,0.9902
"554",0.7072,0.2132,0.0796
"555",0.9076,0.0228,0.0696
"556",4e-04,0.9978,0.0018
"557",2e-04,0.99,0.0098
"558",2e-04,0.9982,0.0016
"559",2e-04,0.998,0.0018
"560",0,0.9932,0.0068
"561",0,0.9986,0.0014
"562",0,0.9994,6e-04
"563",0,0.9998,2e-04
"564",0,0.9998,2e-04
"565",0,0.9992,8e-04
"566",0,0.9998,2e-04
"567",8e-04,0.9986,6e-04
"568",0.0046,0.9906,0.0048
"569",0.006,0.8538,0.1402
"570",0.0036,0.8482,0.1482
"571",0,0.9998,2e-04
"572",6e-04,0.9352,0.0642
"573",8e-04,0.998,0.0012
"574",0.0034,0.9914,0.0052
"575",0.0654,0.8818,0.0528
"576",0.892,0.019,0.089
"577",8e-04,0.9988,4e-04
"578",2e-04,0.995,0.0048
"579",4e-04,0.9982,0.0014
"580",2e-04,0.9992,6e-04
"581",0.0064,0.2928,0.7008
"582",0.0918,0.0142,0.894
"583",0.696,8e-04,0.3032
"584",0,0.993,0.007
"585",0,0.732,0.268
"586",0,0.6942,0.3058
"587",6e-04,0.6914,0.308
"588",0.0022,0.7192,0.2786
"589",0.0034,0.7274,0.2692
"590",0.0096,0.553,0.4374
"591",0.144,0.5606,0.2954
"592",0,0.9982,0.0018
"593",0,0.9996,4e-04
"594",2e-04,0.9988,0.001
"595",6e-04,0.9984,0.001
"596",2e-04,0.9996,2e-04
"597",2e-04,0.9982,0.0016
"598",0.0038,0.9182,0.078
"599",0.0162,0.4062,0.5776
"600",0.7966,0.126,0.0774
"601",0.7786,0.169,0.0524
"602",0.018,0.9812,8e-04
"603",0.0058,0.9942,0
"604",0.0052,0.9948,0
"605",0.02,0.9732,0.0068
"606",0.9902,2e-04,0.0096
"607",0.998,0,0.002
"608",0.999,0,0.001
"609",0.994,0.0048,0.0012
"610",0.9986,0,0.0014
"611",0.0144,0.277,0.7086
"612",0.0202,0.227,0.7528
"613",0.702,0.0724,0.2256
"614",0.7818,0.0768,0.1414
"615",0.985,0.001,0.014
"616",0.006,0.3412,0.6528
"617",4e-04,0.9994,2e-04
"618",0,1,0
"619",2e-04,0.9996,2e-04
