"","Horizontal","Round","Vertical"
"477",0,0.8846,0.1154
"478",0,0.9964,0.0036
"479",2e-04,0.9306,0.0692
"480",0,0.999,0.001
"481",0,1,0
"482",0,1,0
"483",0,1,0
"484",0,0.999,0.001
"485",0,1,0
"486",0,1,0
"487",0,0.9998,2e-04
"488",0,1,0
"489",0,1,0
"490",0,1,0
"491",0,1,0
"492",0,1,0
"493",0,1,0
"494",0,0.9816,0.0184
"495",0,1,0
"496",0,1,0
"497",0,1,0
"498",0,0.9998,2e-04
"499",0,0.997,0.003
"500",0,0.9998,2e-04
"501",0,1,0
"502",0,1,0
"503",0,1,0
"504",0,1,0
"505",0,1,0
"506",0,1,0
"507",0,1,0
"508",0,1,0
"509",0,1,0
"510",0,1,0
"511",0,1,0
"512",0,1,0
"513",0,0.9998,2e-04
"514",0,1,0
"515",0,0.9998,2e-04
"516",0,0.9992,8e-04
"517",0,0.9998,2e-04
"518",0,0.9986,0.0014
"519",0,0.9856,0.0144
"520",0,0.0962,0.9038
"521",0,0.998,0.002
"522",0,0.9996,4e-04
"523",0,0.9998,2e-04
"524",0,0.9998,2e-04
"525",0,0.9986,0.0014
"526",0,0.9308,0.0692
"527",0,0.6166,0.3834
"528",0,0.077,0.923
"529",0,0.608,0.392
"530",0,0.9918,0.0082
"531",0,0.7352,0.2648
"532",0,0.6938,0.3062
"533",0,0.9996,4e-04
"534",0,0.9998,2e-04
"535",0,1,0
"536",0,1,0
"537",0,0.9994,6e-04
"538",0,0.9998,2e-04
"539",0,1,0
"540",0,1,0
"541",0,0.9992,8e-04
"542",0,0.999,0.001
"543",0,0.9976,0.0024
"544",0,0.9962,0.0038
"545",0,0.9978,0.0022
"546",0,0.9994,6e-04
"547",0,0.9942,0.0058
"548",0,0.9802,0.0198
"549",0,0.8208,0.1792
"550",0,0.0236,0.9764
"551",0,0.0094,0.9906
"552",0.0076,0.9798,0.0126
"553",0,0.9996,4e-04
"554",0.9994,6e-04,0
"555",1,0,0
"556",0,0.9992,8e-04
"557",2e-04,0.9906,0.0092
"558",0,0.7634,0.2366
"559",0,0.788,0.212
"560",0,0.9116,0.0884
"561",0,0.9826,0.0174
"562",0,0.9992,8e-04
"563",0,1,0
"564",0,1,0
"565",0,1,0
"566",0,1,0
"567",0,1,0
"568",0,1,0
"569",0.0898,0.9088,0.0014
"570",0.0898,0.9094,8e-04
"571",0,1,0
"572",0,1,0
"573",0,0.9996,4e-04
"574",0.0032,0.9956,0.0012
"575",0.9688,0.031,2e-04
"576",0.9994,6e-04,0
"577",0,0.9998,2e-04
"578",0,0.9792,0.0208
"579",0,0.9968,0.0032
"580",0,0.9996,4e-04
"581",0,0.8714,0.1286
"582",0,0.9992,8e-04
"583",0,0.9998,2e-04
"584",0,0.5228,0.4772
"585",0,0.9818,0.0182
"586",0,0.9982,0.0018
"587",0,0.9994,6e-04
"588",0,0.9826,0.0174
"589",0,0.9696,0.0304
"590",0,0.5278,0.4722
"591",0,0.5262,0.4738
"592",0,0.0452,0.9548
"593",0,0.0142,0.9858
"594",0,0.0096,0.9904
"595",0,0.0468,0.9532
"596",0,0.0012,0.9988
"597",0,0,1
"598",0,2e-04,0.9998
"599",2e-04,0.0022,0.9976
"600",0.9986,2e-04,0.0012
"601",1,0,0
"602",1,0,0
"603",1,0,0
"604",1,0,0
"605",1,0,0
"606",1,0,0
"607",1,0,0
"608",1,0,0
"609",1,0,0
"610",1,0,0
"611",0,8e-04,0.9992
"612",0,0.0014,0.9986
"613",0.9932,0.0014,0.0054
"614",0.9998,2e-04,0
"615",1,0,0
"616",0,0,1
"617",0,0,1
"618",0,0,1
"619",0,0,1
"620",0,0,1
"621",0,2e-04,0.9998
"622",0,0,1
"623",0,0,1
"624",0,2e-04,0.9998
"625",0,0,1
"626",0,0,1
"627",0,0,1
"628",0,0,1
"629",0,2e-04,0.9998
"630",0,0,1
"631",0,0,1
"632",0,0,1
"633",0,4e-04,0.9996
"634",0,2e-04,0.9998
"635",0,0,1
"636",0,0,1
"637",0,2e-04,0.9998
"638",0,0.0062,0.9938
"639",0,0,1
"640",0,0.0434,0.9566
"641",0,0.0624,0.9376
"642",0,0.9648,0.0352
"643",0,0.9936,0.0064
"644",0,0.0476,0.9524
"645",0,0,1
"646",0,0.0268,0.9732
"647",0.0076,0.9838,0.0086
"648",0.0076,0.9878,0.0046
"649",2e-04,0.9972,0.0026
"650",0,0.9992,8e-04
"651",0,0.9992,8e-04
"652",0.976,0.0234,6e-04
"653",0.9986,0.0014,0
"654",0.9996,4e-04,0
"655",1,0,0
"656",1,0,0
"657",1,0,0
"658",1,0,0
"659",1,0,0
"660",1,0,0
"661",1,0,0
"662",1,0,0
"663",1,0,0
"664",1,0,0
"665",1,0,0
"666",1,0,0
"667",1,0,0
"668",1,0,0
"669",1,0,0
"670",1,0,0
"671",1,0,0
"672",1,0,0
"673",1,0,0
"674",1,0,0
"675",1,0,0
"676",1,0,0
"677",1,0,0
"678",1,0,0
"679",1,0,0
"680",1,0,0
"681",1,0,0
"682",1,0,0
"683",1,0,0
"684",1,0,0
"685",1,0,0
"686",1,0,0
"687",1,0,0
"688",1,0,0
"689",1,0,0
"690",1,0,0
"691",1,0,0
"692",1,0,0
"693",1,0,0
"694",1,0,0
"695",1,0,0
"696",1,0,0
"697",1,0,0
"698",1,0,0
"699",1,0,0
"700",1,0,0
"701",1,0,0
"702",1,0,0
"703",1,0,0
"704",1,0,0
"705",1,0,0
"706",1,0,0
"707",1,0,0
"708",1,0,0
"709",1,0,0
"710",1,0,0
"711",1,0,0
"712",1,0,0
"713",1,0,0
"714",1,0,0
"715",1,0,0
"716",1,0,0
"717",1,0,0
"718",1,0,0
"719",1,0,0
"720",1,0,0
"721",1,0,0
"722",1,0,0
"723",1,0,0
"724",1,0,0
"725",1,0,0
"726",1,0,0
"727",1,0,0
"728",1,0,0
"729",1,0,0
"730",1,0,0
"731",1,0,0
"732",1,0,0
"733",1,0,0
"734",1,0,0
"735",1,0,0
"736",0.9998,2e-04,0
"737",1,0,0
"738",0,0.9996,4e-04
"739",0,0.9994,6e-04
"740",0.9924,0.007,6e-04
"741",0,0.9976,0.0024
"742",0,0.7944,0.2056
"743",0,6e-04,0.9994
"744",0,2e-04,0.9998
"745",0,4e-04,0.9996
"746",0,0,1
"747",0,0,1
"748",0,2e-04,0.9998
"749",0,2e-04,0.9998
"750",0,6e-04,0.9994
"751",0,0,1
"752",0,0.9976,0.0024
"753",0.0028,0.9938,0.0034
"754",0.9602,0.039,8e-04
"755",0.9998,2e-04,0
"756",1,0,0
"757",0.999,0.001,0
"758",1,0,0
"759",1,0,0
"760",1,0,0
"761",1,0,0
"762",1,0,0
"763",1,0,0
"764",1,0,0
"765",1,0,0
"766",1,0,0
"767",1,0,0
"768",1,0,0
"769",1,0,0
"770",0,0.999,0.001
"771",0,0.999,0.001
"772",0,0.9954,0.0046
"773",0,0.1954,0.8046
"774",0,0.0042,0.9958
"775",0,4e-04,0.9996
"776",0,0,1
"777",0,0,1
"778",0,0,1
"779",0,0,1
"780",0,0,1
"781",0,0,1
"782",0,0,1
"783",0,0,1
