"","Horizontal","Round","Vertical"
"477",0,0.4822,0.5178
"478",4e-04,0.979,0.0206
"479",0,0.5408,0.4592
"480",0,0.4038,0.5962
"481",0,0.4284,0.5716
"482",0.0986,0.601,0.3004
"483",2e-04,0.9982,0.0016
"484",0.9944,0.0024,0.0032
"485",0.9998,2e-04,0
"486",0,0.436,0.564
"487",2e-04,0.3954,0.6044
"488",0,0.0074,0.9926
"489",0,0.0056,0.9944
"490",0,0.389,0.611
"491",0,0.7802,0.2198
"492",4e-04,0.8778,0.1218
"493",0,0.9916,0.0084
"494",0,0.9478,0.0522
"495",0,0.1832,0.8168
"496",0.006,0.1678,0.8262
"497",0.0998,0.178,0.7222
"498",0.9556,0.0056,0.0388
"499",0.9998,0,2e-04
"500",1,0,0
"501",0.9914,0.0016,0.007
"502",1,0,0
"503",1,0,0
"504",1,0,0
"505",1,0,0
"506",1,0,0
"507",1,0,0
"508",1,0,0
"509",1,0,0
"510",0.9994,0,6e-04
"511",1,0,0
"512",1,0,0
"513",1,0,0
"514",1,0,0
"515",1,0,0
"516",1,0,0
"517",1,0,0
"518",1,0,0
"519",1,0,0
"520",1,0,0
"521",1,0,0
"522",1,0,0
"523",1,0,0
"524",1,0,0
"525",1,0,0
"526",1,0,0
"527",1,0,0
"528",1,0,0
"529",1,0,0
"530",1,0,0
"531",1,0,0
"532",1,0,0
"533",1,0,0
"534",1,0,0
"535",1,0,0
"536",1,0,0
"537",1,0,0
"538",1,0,0
"539",1,0,0
"540",1,0,0
"541",1,0,0
"542",1,0,0
"543",1,0,0
"544",1,0,0
"545",1,0,0
"546",1,0,0
"547",1,0,0
"548",1,0,0
"549",1,0,0
"550",1,0,0
"551",1,0,0
"552",1,0,0
"553",1,0,0
"554",1,0,0
"555",1,0,0
"556",1,0,0
"557",1,0,0
"558",1,0,0
"559",1,0,0
"560",1,0,0
"561",1,0,0
"562",1,0,0
"563",1,0,0
"564",1,0,0
"565",1,0,0
"566",1,0,0
"567",1,0,0
"568",1,0,0
"569",1,0,0
"570",1,0,0
"571",1,0,0
"572",1,0,0
"573",1,0,0
"574",1,0,0
"575",1,0,0
"576",1,0,0
"577",1,0,0
"578",1,0,0
"579",1,0,0
"580",1,0,0
"581",1,0,0
"582",1,0,0
"583",1,0,0
"584",0.1016,0.621,0.2774
"585",0.0086,0.8758,0.1156
"586",2e-04,0.9956,0.0042
"587",0,0.998,0.002
"588",0,0.0524,0.9476
"589",0,0.0862,0.9138
"590",0,0.0018,0.9982
"591",0,2e-04,0.9998
"592",0,0.0042,0.9958
"593",0,2e-04,0.9998
"594",0,0.6826,0.3174
"595",0,0.9872,0.0128
"596",0,0.9958,0.0042
"597",0,1,0
"598",0,0.6508,0.3492
"599",0,0.6684,0.3316
"600",0,0.665,0.335
"601",0,0.4276,0.5724
"602",0,0.7148,0.2852
"603",0,0.9686,0.0314
"604",0,0.995,0.005
"605",0,0.7348,0.2652
"606",0,0.9174,0.0826
"607",2e-04,0.966,0.0338
"608",0.0034,0.9672,0.0294
"609",0,0.9976,0.0024
"610",0.992,0.0074,6e-04
"611",1,0,0
"612",0,0.997,0.003
"613",0,1,0
"614",0,1,0
"615",0,1,0
"616",0,1,0
"617",0.2618,0.737,0.0012
"618",0.2636,0.7346,0.0018
"619",0,1,0
"620",0,0.9998,2e-04
"621",0,1,0
"622",0,0.421,0.579
"623",0,0.9996,4e-04
"624",0,1,0
"625",0,0.0024,0.9976
"626",0,0,1
"627",0,0,1
"628",0,0,1
"629",0,0,1
"630",0,0,1
"631",0,0,1
"632",0,0,1
"633",0,0,1
"634",0,0,1
"635",2e-04,6e-04,0.9992
"636",0.9978,2e-04,0.002
"637",1,0,0
"638",1,0,0
"639",0.9994,0,6e-04
"640",1,0,0
"641",1,0,0
"642",1,0,0
"643",1,0,0
"644",1,0,0
"645",1,0,0
"646",1,0,0
"647",1,0,0
"648",1,0,0
"649",1,0,0
"650",0,0,1
"651",0,0,1
"652",0,0,1
"653",0,0,1
"654",0,0,1
"655",0,0,1
"656",0,0,1
"657",0,0,1
"658",0,0,1
"659",0,0,1
"660",0,0,1
"661",0,0,1
"662",0,0,1
"663",0,4e-04,0.9996
"664",0,0,1
"665",0,0,1
"666",0,0,1
"667",0,2e-04,0.9998
"668",0,2e-04,0.9998
"669",0,0.0022,0.9978
"670",0,2e-04,0.9998
"671",0,0.0098,0.9902
"672",0,0.3784,0.6216
"673",0,0.9374,0.0626
"674",0,0.99,0.01
"675",0,0.3754,0.6246
"676",0,0.011,0.989
"677",0,0.1692,0.8308
"678",0,0.1744,0.8256
"679",0,0.1944,0.8056
"680",0,0.0054,0.9946
"681",0,0,1
"682",0,0,1
"683",0,0,1
"684",0,0,1
"685",0,0,1
"686",0,0,1
"687",0,0,1
"688",0,0,1
"689",0,0.275,0.725
"690",0,0.2664,0.7336
"691",0.0426,0.4422,0.5152
"692",4e-04,0.9422,0.0574
"693",0,0.9862,0.0138
"694",0.9932,0.0032,0.0036
"695",1,0,0
"696",1,0,0
"697",1,0,0
"698",1,0,0
"699",1,0,0
"700",1,0,0
"701",1,0,0
"702",1,0,0
"703",1,0,0
"704",0.9998,2e-04,0
"705",1,0,0
"706",1,0,0
"707",1,0,0
"708",1,0,0
"709",1,0,0
"710",0,0.0768,0.9232
"711",0,0.0182,0.9818
"712",0,2e-04,0.9998
"713",0,6e-04,0.9994
"714",0,0.004,0.996
"715",0,0.9672,0.0328
"716",0,0,1
"717",0,0,1
"718",0,2e-04,0.9998
"719",0,6e-04,0.9994
"720",0,0.0176,0.9824
"721",0,0,1
"722",0,0.0012,0.9988
"723",0,2e-04,0.9998
"724",0,0,1
"725",0,2e-04,0.9998
"726",0,2e-04,0.9998
"727",0,2e-04,0.9998
"728",0,0,1
"729",0,0,1
"730",0,0,1
"731",0,0,1
"732",0,0,1
"733",0,0,1
"734",0,0,1
"735",0,0,1
"736",0,0,1
"737",0,0,1
"738",0,0,1
"739",0,0,1
"740",0,0,1
"741",0,0,1
"742",0,0,1
"743",0,2e-04,0.9998
"744",0,0,1
"745",0,0.3222,0.6778
"746",0,0.417,0.583
"747",0,0.4276,0.5724
"748",0,0.66,0.34
"749",0,0.9872,0.0128
"750",0,0.9924,0.0076
"751",0,0.9968,0.0032
"752",0,0.995,0.005
"753",0,1,0
"754",0,0.9996,4e-04
"755",0,1,0
"756",0,1,0
"757",0,1,0
"758",0,1,0
"759",0,1,0
"760",0,0.9998,2e-04
"761",0,1,0
"762",0,0.9978,0.0022
"763",0,1,0
"764",0,0.9992,8e-04
"765",0,0.9994,6e-04
"766",0,1,0
"767",0,1,0
"768",0,0.9996,4e-04
"769",0,1,0
"770",0,1,0
"771",0,1,0
"772",0,0.9998,2e-04
"773",0,0.9998,2e-04
"774",0,1,0
"775",0,1,0
"776",0,0.9998,2e-04
"777",0,1,0
"778",0,0.9994,6e-04
"779",0,0.9948,0.0052
"780",0,0.9862,0.0138
"781",0,0.9708,0.0292
"782",0,0.9108,0.0892
"783",0,0.9996,4e-04
"784",0,0.9986,0.0014
"785",0,0.9998,2e-04
"786",0,1,0
"787",0,1,0
"788",0,1,0
"789",0,0.9998,2e-04
"790",0,1,0
"791",0,1,0
"792",0,1,0
"793",0,1,0
"794",0,1,0
"795",0,1,0
"796",0,1,0
"797",0,1,0
"798",0,1,0
"799",0,1,0
"800",0,1,0
"801",0,1,0
"802",0,1,0
"803",0,0.9998,2e-04
"804",0,1,0
"805",0,1,0
"806",0,1,0
"807",0,1,0
"808",0,1,0
"809",0,1,0
"810",0,1,0
"811",0,1,0
"812",0,1,0
"813",0,1,0
"814",0,0.9988,0.0012
"815",0,0.9998,2e-04
"816",0,1,0
"817",0,1,0
"818",0,1,0
"819",0,0.9998,2e-04
"820",0.0014,0.1564,0.8422
"821",0.9784,0.0056,0.016
"822",0.0014,0.155,0.8436
"823",0,0.0912,0.9088
"824",0,6e-04,0.9994
"825",0,4e-04,0.9996
"826",0,2e-04,0.9998
"827",0,0,1
"828",0,0,1
"829",0,0,1
"830",0,8e-04,0.9992
"831",0,0.1444,0.8556
"832",0,0.1118,0.8882
"833",0,0.327,0.673
"834",0,0.327,0.673
"835",0,0.0978,0.9022
"836",0,0.9508,0.0492
"837",0,0.9742,0.0258
"838",0,0.9746,0.0254
"839",0,0.9664,0.0336
"840",0,0.004,0.996
"841",0,0.0034,0.9966
"842",0,0,1
"843",0,0,1
"844",0,2e-04,0.9998
"845",0.0072,0.2146,0.7782
"846",0,0.9592,0.0408
"847",0,1,0
"848",0,1,0
"849",0,0.9996,4e-04
"850",0,1,0
"851",0,1,0
"852",0,1,0
"853",0,1,0
"854",0,1,0
"855",0,1,0
"856",0,1,0
"857",0,1,0
"858",0,1,0
"859",0,1,0
"860",0,0.9996,4e-04
"861",0,1,0
"862",0,0.9998,2e-04
"863",0,1,0
"864",0,0.996,0.004
"865",0,1,0
"866",0,1,0
"867",0,1,0
"868",0,1,0
"869",0,1,0
"870",0,1,0
"871",0,1,0
"872",0,1,0
"873",0,1,0
"874",0,1,0
"875",0,1,0
"876",0,1,0
"877",0,1,0
"878",0,1,0
"879",0,1,0
"880",0,1,0
"881",0,1,0
"882",0,1,0
"883",0,1,0
"884",0,1,0
"885",0,1,0
"886",0,1,0
"887",0,1,0
"888",0,1,0
"889",0,1,0
"890",0,1,0
"891",4e-04,0.965,0.0346
"892",0,0.9974,0.0026
"893",0,0.999,0.001
"894",0,0.9994,6e-04
"895",0,0.9996,4e-04
"896",0,0.999,0.001
"897",0,0.999,0.001
"898",0,1,0
"899",0,1,0
"900",0,0.976,0.024
"901",0,0.9786,0.0214
"902",0,0.9814,0.0186
"903",0,0.9958,0.0042
"904",0,0.9992,8e-04
"905",0,1,0
"906",0,1,0
"907",0,0.9984,0.0016
"908",0,0.9994,6e-04
"909",0,0.9988,0.0012
"910",0,0.9996,4e-04
"911",0,0.9998,2e-04
"912",0,0.9998,2e-04
"913",0,0.9408,0.0592
"914",0,0.9998,2e-04
"915",0,0.9996,4e-04
"916",0,0.9996,4e-04
"917",0,0.9994,6e-04
"918",0,0.9358,0.0642
"919",2e-04,0.4496,0.5502
"920",0,0.4054,0.5946
"921",0,0.9576,0.0424
"922",0,0.9134,0.0866
"923",0,0.5602,0.4398
"924",0,0.9744,0.0256
"925",0,0.3476,0.6524
"926",0,0.031,0.969
"927",0,0.3402,0.6598
"928",0,0.9744,0.0256
"929",0,0.9926,0.0074
"930",0,0.9998,2e-04
"931",0,0.9998,2e-04
"932",0,1,0
"933",0,1,0
"934",0,1,0
"935",0,1,0
"936",0,1,0
"937",0,1,0
"938",0,1,0
"939",0,1,0
"940",0,0.9996,4e-04
"941",0,1,0
"942",0,0.9764,0.0236
"943",0,0.9684,0.0316
"944",0,0.9714,0.0286
"945",0,0.9542,0.0458
"946",0,0.0188,0.9812
"947",0,0.9756,0.0244
"948",0,0.9918,0.0082
"949",0,0.9966,0.0034
"950",0,0.9874,0.0126
"951",0,0.99,0.01
"Zaglossus_attenboroughi",0,1,0
"Tachyglossus_aculeatus",0,1,0
"Loxodonta_africana",0,1,0
"Elephas_maximus",0,1,0
"Procavia_capensis",1,0,0
"Heterohyrax_brucei",1,0,0
"Dendrohyrax_arboreus",1,0,0
"Orycteropus_afer",0,1,0
"Rhynchocyon_chrysopygus",0,1,0
"Petrodromus_tetradactylus",0,0,1
"Macroscelides_flavicaudatus",0,0,1
"Elephantulus_fuscipes",0,0,1
"Tamandua_mexicana",0,1,0
"Myrmecophaga_tridactyla",0,1,0
"Cyclopes_didactylus",0,1,0
"Choloepus_hoffmanni",0,1,0
"Bradypus_pygmaeus",0,1,0
"Vicugna_vicugna",1,0,0
"Lama_guanicoe",1,0,0
"Camelus_ferus",1,0,0
"Tayassu_pecari",1,0,0
"Pecari_tajacu",1,0,0
"Catagonus_wagneri",1,0,0
"Phacochoerus_aethiopicus",1,0,0
"Hylochoerus_meinertzhageni",1,0,0
"Babyrousa_babyrussa",1,0,0
"Potamochoerus_larvatus",1,0,0
"Porcula_salvania",1,0,0
"Sus_cebifrons",1,0,0
"Hippopotamus_amphibius",1,0,0
"Choeropsis_liberiensis",1,0,0
"Moschiola_indica",1,0,0
"Tragulus_javanicus",1,0,0
"Hyemoschus_aquaticus",1,0,0
"Okapia_johnstoni",1,0,0
"Giraffa_camelopardalis",1,0,0
"Antilocapra_americana",1,0,0
"Muntiacus_reevesi",1,0,0
"Elaphodus_cephalophus",1,0,0
"Dama_mesopotamica",1,0,0
"Elaphurus_davidianus",1,0,0
"Rusa_alfredi",1,0,0
"Cervus_elaphus",1,0,0
"Rucervus_duvaucelii",1,0,0
"Axis_kuhlii",1,0,0
"Rangifer_tarandus",1,0,0
"Ozotoceros_bezoarticus",1,0,0
"Mazama_americana",1,0,0
"Odocoileus_virginianus",1,0,0
"Pudu_mephistophiles",1,0,0
"Hydropotes_inermis",1,0,0
"Capreolus_capreolus",1,0,0
"Alces_alces",1,0,0
"Moschus_anhuiensis",1,0,0
"Tetracerus_quadricornis",1,0,0
"Boselaphus_tragocamelus",1,0,0
"Ammodorcas_clarkei",1,0,0
"Syncerus_caffer",1,0,0
"Bubalus_mindorensis",1,0,0
"Bos_gaurus",1,0,0
"Bison_bison",1,0,0
"Pseudoryx_nghetinhensis",1,0,0
"Tragelaphus_angasii",1,0,0
"Nesotragus_moschatus",1,0,0
"Neotragus_batesi",1,0,0
"Aepyceros_melampus",1,0,0
"Pelea_capreolus",1,0,0
"Redunca_redunca",1,0,0
"Kobus_leche",1,0,0
"Procapra_gutturosa",1,0,0
"Ourebia_ourebi",1,0,0
"Raphicerus_campestris",1,0,0
"Madoqua_kirkii",1,0,0
"Dorcatragus_megalotis",1,0,0
"Saiga_tatarica",1,0,0
"Nanger_dama",1,0,0
"Eudorcas_thomsonii",1,0,0
"Gazella_leptoceros",1,0,0
"Antilope_cervicapra",1,0,0
"Litocranius_walleri",1,0,0
"Antidorcas_marsupialis",1,0,0
"Oreotragus_oreotragus",1,0,0
"Philantomba_walteri",1,0,0
"Sylvicapra_grimmia",1,0,0
"Cephalophus_jentinki",1,0,0
"Ovibos_moschatus",1,0,0
"Naemorhedus_baileyi",1,0,0
"Capricornis_crispus",1,0,0
"Ovis_canadensis",1,0,0
"Nilgiritragus_hylocrius",1,0,0
"Hemitragus_jemlahicus",1,0,0
"Capra_caucasica",1,0,0
"Pseudois_nayaur",1,0,0
"Budorcas_taxicolor",1,0,0
