Species,Plane,Landmark,X,Y,Z,,,
Chinchilla_lanigera,Orbit,OI,305,182,82,,,
Chinchilla_lanigera,Orbit,OA,346,200,107,,,
Chinchilla_lanigera,Orbit,OS,332,232,124,,,
Chinchilla_lanigera,Pallate ,Prosthion,457,144,464,,,
Chinchilla_lanigera,Pallate ,M1(1),361,149,474,,,
Chinchilla_lanigera,Pallate ,M1(2),361,149,454,,,
Thricomys_apereoides,Orbit,OI,171,91,14,,,
Thricomys_apereoides,Orbit,OA,201,122,40,,,
Thricomys_apereoides,Orbit,OS,175,142,47,,,
Thricomys_apereoides,Pallate ,Prosthion,280,76,308,,,
Thricomys_apereoides,Pallate ,M1(1),199,74,300,,,
Thricomys_apereoides,Pallate ,M1(2),199,74,316,,,
Hydrochoerus_hydrochaeris,Orbit,OS,202,219,69,,,
Hydrochoerus_hydrochaeris,Orbit,OA,234,197,56,,,
Hydrochoerus_hydrochaeris,Orbit,OI,215,136,25,,,
Hydrochoerus_hydrochaeris,Pallate ,Prosthion,426,88,126,,,
Hydrochoerus_hydrochaeris,Pallate ,M1(1),292,94,132,,,
Hydrochoerus_hydrochaeris,Pallate ,M1(2),292,94,120,,,
Proechimys_steeri,Orbit,OA,331,196,83,,,
Proechimys_steeri,Orbit,OS,303,240,97,,,
Proechimys_steeri,Orbit,OI,272,155,45,,,
Proechimys_steeri,Pallate ,Prosthion,458,106,150,,,
Proechimys_steeri,Pallate ,M1(1),321,121,175,,,
Proechimys_steeri,Pallate ,M1(2),321,121,125,,,
Mus_musculus,Orbit,OA,146,202,84,,,
Mus_musculus,Orbit,OS,195,235,110,,,
Mus_musculus,Orbit,OI,208,145,38,,,
Mus_musculus,Pallate ,Prosthion,29,160,142,,,
Mus_musculus,Pallate ,M1(1),167,134,130,,,
Mus_musculus,Pallate ,M1(2),167,134,154,,,
Pedetes_capensis,Orbit,OA,151,214,58,,,
Pedetes_capensis,Orbit,OS,202,273,88,,,
Pedetes_capensis,Orbit,OI,206,162,41,,,
Pedetes_capensis,Pallate ,Prosthion,22,157,156,,,
Pedetes_capensis,Pallate ,M1(1),151,137,141,,,
Pedetes_capensis,Pallate ,M1(2),151,137,171,,,
