Pupil_Shape,Constriction_Level,Incident_Angle,width,height,area
Round,1,0,13.51474192,13.51474192,143.4515994
Round,2,0,12.79773344,12.79773344,128.6340673
Round,3,0,11.63756831,11.63756831,106.3688265
Round,4,0,11.00474781,11.00474781,95.11523174
Round,5,0,10.39782981,10.39782981,84.91321625
Round,1,5,13.48210478,13.51256087,143.0820792
Round,2,5,12.74287909,12.79572765,128.0626344
Round,3,5,11.61048532,11.63582325,106.1053717
Round,4,5,10.98600606,11.01533412,95.0445875
Round,5,5,10.36710965,10.39702907,84.65582214
Round,1,10,13.3933903,13.51026532,142.1164283
Round,2,10,12.6689628,12.79656779,127.3281544
Round,3,10,11.51704018,11.6359456,105.2525062
Round,4,10,10.89747812,11.00299202,94.17306063
Round,5,10,10.28330323,10.39600289,83.96318709
Round,1,15,13.23242233,13.52199053,140.5302641
Round,2,15,12.52027031,12.8051878,125.9184992
Round,3,15,11.36332821,11.64564206,103.9342938
Round,4,15,10.75532796,11.01325891,93.03136398
Round,5,15,10.1422877,10.40680525,82.8978438
Round,1,20,13.01339938,13.52877031,138.2735023
Round,2,20,12.31028094,12.81928211,123.9428706
Round,3,20,11.16253914,11.65560003,102.1850853
Round,4,20,10.55238366,11.04726425,91.55776797
Round,5,20,9.947031729,10.42054878,81.4092916
Round,1,25,12.72503054,13.50309735,134.9528664
Round,2,25,12.01569649,12.74746611,120.2991883
Round,3,25,10.88191225,11.53181088,98.55816574
Round,4,25,10.28817249,10.86216715,87.76969718
Round,5,25,9.697500347,10.21917493,77.8333133
Round,1,30,12.17025055,13.55744661,129.5887508
Round,2,30,11.65308338,12.86281265,117.7244525
Round,3,30,10.55056697,11.68684034,96.84178616
Round,4,30,9.958427162,11.03566236,86.3135615
Round,5,30,9.380759887,10.39075399,76.55524733
Round,1,35,11.43545812,13.56381497,121.8218823
Round,2,35,11.18785413,12.87949918,113.1711301
Round,3,35,10.12588717,11.70804416,93.11235635
Round,4,35,9.555929128,11.03733075,82.83747613
Round,5,35,8.998493269,10.40003642,73.50121832
Round,1,40,10.56575483,13.55066446,112.4478101
Round,2,40,10.42362326,12.8892336,105.5202186
Round,3,40,9.575619638,12.36960219,93.02774653
Round,4,40,9.052301337,11.1022674,78.93335579
Round,5,40,8.542420647,10.5159314,70.5535026
Round,1,45,9.549999383,13.63093907,102.239567
Round,2,45,9.48947466,12.87723967,95.97427287
Round,3,45,9.002345679,11.54456918,81.62501932
