"Constriction_Level","Incident_Angle","width_Round","width_Vertical","height_Round","height_Vertical","area_Round","area_Vertical","width_pct_diff","height_pct_diff","area_pct_diff"
1,0,13.514741918,12.734960958,13.514741918,14.373147192,143.451599398869,143.760433054866,-5.76985461306831,6.35162165292041,0.21528770490642
1,5,13.48210477581,12.7003129588447,13.51256087,14.370655436,143.082079245932,143.344449373732,-5.79873714056852,6.35034746008141,0.183370362790007
1,10,13.3933902979919,12.6162193645739,13.510265322,14.349979186,142.116428314838,142.190435441826,-5.80264530583083,6.21537655987124,0.0520749978493361
1,15,13.2324223326451,12.4563938051721,13.521990532,14.358078046,140.530264110411,140.468362898336,-5.86459914870258,6.18316890565324,-0.0440483140531269
1,20,13.013399377095,12.2555819920852,13.528770306,14.309566372,138.273502265107,137.736896932233,-5.82336223649344,5.7713749907759,-0.388075317456828
1,25,12.725030542337,11.9914726882581,13.503097352,14.40109772,134.952866434957,135.63069942682,-5.7646844275798,6.65032876969515,0.502273875145867
1,30,12.1702505543744,11.5836994370569,13.557446608,14.328393324,129.588750820045,130.357089808793,-4.81954841189898,5.68651854800652,0.592905621734739
1,35,11.4354581181645,11.1287572451616,13.56381497,14.439888032,121.821882342046,126.211920781072,-2.68201649495498,6.4588986501045,3.60365342796131
1,40,10.5657548339381,10.4094799981562,13.550664462,14.402600088,112.447810103346,117.74970244791,-1.4790692973491,6.28703949086094,4.7149805226903
1,45,9.54999938294828,9.47437516361734,13.630939068,14.459075664,102.239566958692,107.592249962956,-0.791876693374128,6.07541851569225,5.23543199906741
1,50,8.43269928940897,8.43269928940897,13.677566732,14.466485606,90.5868873918544,95.8119180278333,0,5.76797678606274,5.76797678606274
1,55,7.31328633708129,7.31328633708129,13.51477934,14.048054452,77.6267525655976,80.6898003688342,0,3.94586621493444,3.94586621493444
1,60,6.27110460606682,6.27110460606682,13.687291974,14.274879124,67.4142113301913,70.3082625698558,0,4.29293940040268,4.29293940040267
1,65,5.29441811039575,5.29441811039575,13.861296996,13.861296996,57.6384091686858,57.6384091686858,0,0,0
1,70,4.37420214877066,4.37420214877066,13.654223528,13.701652434,46.9089529483596,47.0718944964735,0,0.347357035006351,0.347357035006357
1,75,3.50994117804132,3.50994117804132,13.021791776,13.284638674,35.8971910316916,36.6217814315307,0,2.01851559694299,2.01851559694299
1,80,2.64668155110959,2.64668155110959,12.17120987,12.17120987,25.300279708413,25.300279708413,0,0,0
2,0,12.797733444,11.843048016,12.797733444,13.877433324,128.634067313502,129.081059314063,-7.45980084815401,8.43664922952586,0.347491150591915
2,5,12.7428790913838,11.8062335555478,12.795727646,13.875204316,128.062634367181,128.65913838681,-7.35034468363888,8.43622730855364,0.465790839440777
2,10,12.6689627984382,11.7146910644257,12.796567792,13.875577122,127.328154371974,127.664978673478,-7.53235879838653,8.4320213633734,0.26453246194097
2,15,12.5202703072598,11.5635612689628,12.805187804,13.884651836,125.918499236257,126.100404961266,-7.64128101725037,8.42989613680484,0.14446306627888
2,20,12.3102809359526,11.3560533311823,12.81928211,13.891159284,123.942870627817,123.895575120441,-7.75146895294218,8.36144461758788,-0.038159118904086
2,25,12.0156964925417,11.0812613858389,12.747466108,13.885586408,120.299188346801,120.849068126223,-7.77678686610296,8.92820808745468,0.457093507428208
2,30,11.653083376804,10.7327608936424,12.862812648,13.89823033,117.724452454492,117.155003230509,-7.89767354615809,8.04969885152602,-0.483713631374428
2,35,11.1878541338122,10.303416568808,12.87949918,13.946064806,113.171130081704,112.855523366343,-7.90533693437407,8.28111102065384,-0.27887564181251
2,40,10.4236232550244,9.77899973796779,12.889233604,13.953068536,105.520218634147,107.165265264968,-6.18425571689678,8.25367096822463,1.55898713262158
2,45,9.4894746596268,9.16009066241351,12.877239666,13.991553512,95.9742728709118,100.659690635503,-3.4710456482345,8.6533595312522,4.8819518235821
2,50,8.43269928940897,8.38375235900462,12.88315107,14.016652052,85.3254513830975,92.2938187022339,-0.580442023656921,8.79832096853615,8.16680979260161
2,55,7.26736669836597,7.31328633708129,12.968267908,13.769717842,74.0199742615523,79.0910789534968,0.631860763619515,6.18008464727656,6.8509949409407
2,60,6.27110460606682,6.27110460606682,13.039255346,13.975273344,64.222427427818,68.8326100151333,0,7.1784620606202,7.17846206062021
2,65,5.29441811039575,5.29441811039575,13.165843956,13.861296996,54.7465580750476,57.6384091686858,0,5.28225188088353,5.28225188088353
2,70,4.37420214877066,4.37420214877066,13.19109321,13.69665183,45.3178732175004,47.0547149697675,0,3.83257560197318,3.83257560197317
2,75,3.50994117804132,3.50994117804132,12.83394336,13.063678714,35.3793490487948,36.0126608104274,0,1.79006052587099,1.79006052587099
2,80,2.64668155110959,2.64668155110959,12.17120987,12.17120987,25.300279708413,25.300279708413,0,0,0
3,0,11.637568312,10.357546142,11.637568312,13.13383335,106.368826491826,106.841077554074,-10.9990518266614,12.8571966057302,0.443975060948852
3,5,11.6104853238909,10.3266859806844,11.635823254,13.131758812,106.105371672269,106.505920418782,-11.0572409971942,12.8562932363702,0.377500912724582
3,10,11.5170401786783,10.2424523019948,11.635945602,13.128031496,105.252506151954,105.607178926283,-11.0669742999,12.8230738182855,0.336973234458626
3,15,11.3633282122873,10.1007079719779,11.64564206,13.141170042,103.934293839517,104.249920255152,-11.1113594249978,12.8419538767792,0.303678799340083
3,20,11.1625391358271,9.91546993074836,11.655600026,13.148253294,102.185085265189,102.393230494296,-11.1719133962647,12.8063185479114,0.203694334224202
3,25,10.8819122499743,9.65448958097343,11.53181088,13.102829684,98.5581657421428,99.3537572631393,-11.2794758936211,13.6233486687218,0.80723044610831
3,30,10.550566970374,9.33483916480593,11.686840344,13.198296912,96.8417861597976,96.7641787692838,-11.5228670552191,12.9329786624148,-0.0801383303542901
3,35,10.125887174893,8.9630328662229,11.70804416,13.214520912,93.112356345706,93.0242747607106,-11.4839745751205,12.8670231459052,-0.0945970958659204
3,40,9.57561963768757,8.5048245558672,12.36960219,13.23898511,93.0277465310617,88.432099147304,-11.1825147858417,7.02838221186157,-4.94008245402699
3,45,9.00234567911153,7.98064446181536,11.544569176,13.23157542,81.6250193206064,82.9352964517605,-11.3492777739791,14.6129857102603,1.60523959695198
3,50,8.31208161746161,7.40094782579018,11.492760382,13.257664142,75.0281144660673,77.0627027824528,-10.9615597344155,15.3566567242122,2.71176788976305
3,55,7.31328633708129,6.72504684131256,11.87505297,13.24057388,68.2084239346193,69.9345853001926,-8.04343585982846,11.4990721595072,2.53071580605335
3,60,6.27110460606682,6.02757409323056,11.548451356,13.393338486,56.8797496048665,63.404675431184,-3.88337506921287,15.9751907258239,11.4714390827052
3,65,5.29441811039575,5.29441811039575,11.937757202,13.405878442,49.6398954848065,55.7446757780775,0,12.2981328498961,12.2981328498961
3,70,4.37420214877066,4.37420214877066,12.013903808,13.23293859,41.2736504056732,45.4616326160119,0,10.1468665096873,10.1468665096873
3,75,3.50994117804132,3.50994117804132,12.086719598,12.938175588,33.3194762917008,35.6666861729432,0,7.04455814579244,7.04455814579242
3,80,2.64668155110959,2.64668155110959,12.086719598,12.17120987,25.124649878916,25.300279708413,0,0.699033938157883,0.699033938157882
4,0,11.00474781,9.576089274,11.00474781,12.734960958,95.1152317428924,95.7801880557195,-12.9822015067149,15.722424337864,0.699106021866807
4,5,10.986006057435,9.54290920524027,11.015334116,12.732967908,95.0445875039306,95.4333826354384,-13.1357733160728,15.5931156868415,0.409066041232172
4,10,10.8974781244518,9.46148671766492,11.00299202,12.594732872,94.173060628908,93.5918918586152,-13.1772818480341,14.4664364847917,-0.617128472210273
4,15,10.7553279631543,9.33826238932422,11.01325891,12.742440932,93.0313639801531,93.4563000305114,-13.1754752498918,15.7009113844578,0.456766441099271
4,20,10.5523836618325,9.15635082866818,11.047264252,12.735594868,91.557767965021,91.5865165399411,-13.229549625017,15.2827937984225,0.0313993837541206
4,25,10.2881724921471,8.91575247847794,10.86216715,12.685010628,87.7696971790008,88.8257165855105,-13.3397842495033,16.7815819148023,1.20317084421069
4,30,9.95842716160831,8.61414464729663,11.035662356,12.801753176,86.3135615028261,86.6106885016603,-13.4989440852081,16.0034872672576,0.344241384158951
4,35,9.55592912831026,8.26706735277876,11.037330748,12.822659384,82.8374761290863,83.2567518088814,-13.4875610547711,16.1753659173755,0.50614250866575
4,40,9.05230133687648,7.84473824222452,11.102267396,12.826580812,78.933355790544,79.0276813416199,-13.3398464071527,15.5311825458397,0.119500241857427
4,45,8.51239205463585,7.36902668334928,10.819164644,12.814983892,72.3327919983345,74.1682573694188,-13.431775274776,18.4470734448692,2.53752872020553
4,50,7.87291912339882,6.84068160876174,10.729761136,12.614501832,66.3461498556321,67.7734139209465,-13.1112424560441,17.5655419734965,2.15123872058911
4,55,7.12950002200633,6.23710155767934,11.185832058,12.718472112,62.6350243624095,62.302810613345,-12.516985224384,13.7016186730952,-0.530396136101587
4,60,6.27110460606682,5.60510297648725,10.668661328,12.95636771,52.5465074276373,57.0370088771393,-10.6201645709317,21.4432374565672,8.54576577841239
4,65,5.29441811039575,4.92635999064522,11.065533964,12.978425538,46.0129939118305,50.2155282376737,-6.95181438405547,17.2869341888362,9.13336422727903
4,70,4.37420214877066,4.27401043205327,11.4241808,12.79590251,39.2476627119673,42.9532848248538,-2.29051409399414,12.007177880098,9.44163768446923
4,75,3.50994117804132,3.50994117804132,11.29819686,12.75078107,31.145754591513,35.150095451278,0,12.8567790772235,12.8567790772235
4,80,2.64668155110959,2.64668155110959,11.566520592,12.17120987,24.0433128141203,25.300279708413,0,5.22792721622987,5.22792721622986
5,0,10.397829812,8.80169599,10.397829812,12.339110916,84.9132162493462,85.2982484863935,-15.3506438445253,18.6700603789417,0.453442060087191
